conml,conm,tic,cik,gvkey,Works?
Thomas & Betts Corp,THOMAS & BETTS CORP,TNB,0000097854,10540,
Thomas Industries Inc.,THOMAS INDUSTRIES INC,TII.1,0000097886,10541,
Thoratec Corp,THORATEC CORP,THOR.1,0000350907,10550,
3Com Corp,3COM CORP,COMS.,0000738076,10553,
Tidewater Inc.,TIDEWATER INC,TDW,0000098222,10565,
Six Flags Entertainment Corp,SIX FLAGS ENTERTAINMENT CORP,SIX,0000701374,10567,
Timken Co (The),TIMKEN CO,TKR,0000098362,10581,
Titan Corp (The),TITAN CORP,TTN,0000032258,10588,
Globe Life Inc,GLOBE LIFE INC,GL,0000320335,10614,
Toreador Resources Corp,TOREADOR RESOURCES CORP,TRGL,0000098720,10615,
Toro Co (The),TORO CO,TTC,0000737758,10618,
Toshiba Corp,TOSHIBA CORP,TOSYY,0000098573,10622,
Total System Services Inc.,TOTAL SYSTEM SERVICES INC,TSS,0000721683,10631,
Toys 'R' Us Inc,TOYS R US INC,1231B,0001005414,10639,
TC Energy Corp,TC ENERGY CORP,TRP,0001232384,10671,
Transcat Inc,TRANSCAT INC,TRNS,0000099302,10685,
Breeze-Eastern Corp,BREEZE-EASTERN CORP,BZC,0000099359,10692,
Tribune Media Co,TRIBUNE MEDIA CO,TRCO,0000726513,10726,
Trinity Industries Inc.,TRINITY INDUSTRIES,TRN,0000099780,10735,
UNS Energy Corp,UNS ENERGY CORP,UNS,0000941138,10757,
VolitionRX Ltd,VOLITIONRX LTD,VNRX,0000093314,10761,
Twin Disc Inc,TWIN DISC INC,TWIN,0000100378,10777,
Tyco International Plc,TYCO INTERNATIONAL PLC,TYC,0001608109,10787,
Tyler Technologies Inc,TYLER TECHNOLOGIES INC,TYL,0000860731,10789,
Tyson Foods Inc.,TYSON FOODS INC  -CL A,TSN,0000100493,10793,
United Airlines Holdings Inc,UNITED AIRLINES HOLDINGS INC,UAL,0000100517,10795,
UGI Corp,UGI CORP,UGI,0000884614,10801,
URS Corp,URS CORP,URS,0000102379,10813,
USG Corp,USG CORP,USG,0000757011,10816,
UNIFI INC.,UNIFI INC,UFI,0000100726,10839,
UniFirst Corp,UNIFIRST CORP,UNF,0000717954,10840,
Unilever PLC,UNILEVER PLC,UL.1,,10845,
Unilever PLC,UNILEVER PLC,UL,0000217410,10846,
Ameren Corporation,AMEREN CORP,AEE,0001002910,10860,
Union Pacific Corp,UNION PACIFIC CORP,UNP,0000100885,10867,
Unit Corp,UNIT CORP,UNTC,0000798949,10877,
Chiquita Brands International Inc,CHIQUITA BRANDS INTL INC,CQB,0000101063,10884,
UDR Inc,UDR INC,UDR,0000074208,10894,
Unitedhealth Group Inc,UNITEDHEALTH GROUP INC,UNH,0000731766,10903,
UIL Holdings Corp,UIL HOLDINGS CORP,UIL,0001082510,10905,
United Industrial Corp,UNITED INDUSTRIAL CORP,UIC,0000101271,10906,
UMB Financial Corp,UMB FINANCIAL CORP,UMBF,0000101382,10916,
UMH Properties Inc,UMH PROPERTIES INC,UMH,0000752642,10917,
United Parcel Service Inc,UNITED PARCEL SERVICE INC,UPS,0001090727,10920,
UST Inc.,UST INC,UST.1,0000811669,10974,
Essendant Inc,ESSENDANT INC,ESND,0000355999,10981,
Raytheon Technologies Corp,RAYTHEON TECHNOLOGIES CORP,RTX,0000101829,10983,
Sprint Corp,SPRINT CORP,S.4,0000101830,10984,
Scientific Games Corp,SCIENTIFIC GAMES CORP,SGMS,0000750004,10991,
Unitil Corp,UNITIL CORP,UTL,0000755001,10999,
Sensient Technologies Corp,SENSIENT TECHNOLOGIES CORP,SXT,0000310142,11012,
Universal Corp,UNIVERSAL CORP/VA,UVV,0000102037,11017,
Universal Health Services Inc.,UNIVERSAL HEALTH SVCS INC,UHS,0000352915,11032,
Calmare Therapeutics Inc,CALMARE THERAPEUTICS INC,CTTC,0000102198,11035,
Unocal Corp,UNOCAL CORP,UCL.1,0000716039,11038,
Aquila Inc,AQUILA INC,ILA,0000066960,11056,
V.F. Corp,VF CORP,VFC,0000103379,11060,
VSE Corp,VSE CORP,VSEC,0000102752,11065,
Valmont Industries Inc,VALMONT INDUSTRIES INC,VMI,0000102729,11094,
Valspar Corp (The),VALSPAR CORP,VAL.1,0000102741,11096,
Varian Medical Systems Inc,VARIAN MEDICAL SYSTEMS INC,VAR,0000203527,11115,
Veeco Instruments Inc,VEECO INSTRUMENTS INC,VECO,0000103145,11124,
Rational Software Corp,RATIONAL SOFTWARE CORP,RATL,0000722056,11135,
Axsys Technologies Inc,AXSYS TECHNOLOGIES INC,AXYS,0000206030,11142,
Quaker Fabric Corporation,QUAKER FABRIC CORP,QFABQ,0000103341,11147,
Vicorp Restaurants Inc,VICORP RESTAURANTS INC,0949B,0000703799,11162,
Cuisine Solutions Inc,CUISINE SOLUTIONS INC,CUSI,0000737602,11172,
Vishay Intertechnology Inc.,VISHAY INTERTECHNOLOGY INC,VSH,0000103730,11191,
Volt Information Sciences Inc.,VOLT INFO SCIENCES INC,VOLT,0000103872,11213,
Volvo AB,VOLVO AB,VLVLY,0000753762,11217,
Vornado Realty Trust,VORNADO REALTY TRUST,VNO,0000899689,11220,
Vulcan Materials Co,VULCAN MATERIALS CO,VMC,0001396009,11228,
WD-40 Co,WD-40 CO,WDFC,0000105132,11234,
Wajax Corp,WAJAX CORP,WJXFF,,11258,
Walmart Inc,WALMART INC,WMT,0000104169,11259,
Walgreens Boots Alliance Inc,WALGREENS BOOTS ALLIANCE INC,WBA,0001618921,11264,
Cover-All Technologies Inc,COVER-ALL TECHNOLOGIES INC,COVR,0000737300,11286,
Alteva Inc,ALTEVA INC,ALTV,0000104777,11291,
WGL Holdings Inc.,WGL HOLDINGS INC,WGL,0001103601,11296,
Washington Real Estate Investment Trust,WASHINGTON REIT,WRE,0000104894,11301,
Avista Corp,AVISTA CORP,AVA,0000104918,11304,
Watsco Inc,WATSCO INC,WSO,0000105016,11313,
Wausau Paper Corp,WAUSAU PAPER CORP,WPP.2,0000105076,11315,
Weingarten Realty Investors,WEINGARTEN REALTY INVST,WRI,0000828916,11340,
AG&E Holdings Inc,AG&E HOLDINGS INC,AGNUQ,0000105608,11361,
Wendy's International Inc.,WENDY'S INTERNATIONAL INC,WEN.2,0000105668,11366,
West Pharmaceutical Services Inc.,WEST PHARMACEUTICAL SVSC INC,WST,0000105770,11376,
Western Digital Corp,WESTERN DIGITAL CORP,WDC,0000106040,11399,
Pierre Foods Inc,PIERRE FOODS INC,0602B,0000067494,11424,
Westmoreland Coal Co,WESTMORELAND COAL CO,WLBAQ,0000106455,11440,
MeadWestvaco Corp,MEADWESTVACO CORP,MWV,0001159297,11446,
Weyco Group Inc,WEYCO GROUP INC,WEYS,0000106532,11455,
Weyerhaeuser Co,WEYERHAEUSER CO,WY,0000106535,11456,
Whirlpool Corp,WHIRLPOOL CORP,WHR,0000106640,11465,
Whitman Education Group Inc.,WHITMAN EDUCATION GROUP INC,WIX.1,0000352183,11480,
Whitney Holding Corp.,WHITNEY HOLDING CORP,WTNY,0000106926,11482,
John Wiley & Sons Inc.,WILEY (JOHN) & SONS  -CL A,WLY,0000107140,11499,
Williams Cos Inc. (The),WILLIAMS COS INC,WMB,0000107263,11506,
Williams-Sonoma Inc,WILLIAMS-SONOMA INC,WSM,0000719955,11511,
Wilmington Trust Corp,WILMINGTON TRUST CORP,WL,0000872821,11513,
Winn-Dixie Stores Inc.,WINN-DIXIE STORES INC,WINN.1,0000107681,11535,
Winnebago Industries Inc.,WINNEBAGO INDUSTRIES,WGO,0000107687,11537,
J. Alexander's Holdings Inc,J. ALEXANDER'S HOLDINGS INC,JAX,0001617227,11538,
WEC Energy Group Inc,WEC ENERGY GROUP INC,WEC,0000783325,11550,
Alliant Energy Corporation,ALLIANT ENERGY CORP,LNT,0000352541,11554,
Integrys Holding Inc,INTEGRYS HOLDING INC,WEC3,0000916863,11555,
Wiser Oil Co (The),WISER OIL CO,WZR.1,0000107874,11558,
Wolverine World Wide Inc.,WOLVERINE WORLD WIDE,WWW,0000110471,11566,
Woodhead Industries Inc,WOODHEAD INDUSTRIES INC,WDHD,0000108215,11573,
Woodward Inc,WOODWARD INC,WWD,0000108312,11580,
Foot Locker Inc.,FOOT LOCKER INC,FL,0000850209,11584,
Worthington Industries Inc.,WORTHINGTON INDUSTRIES,WOR,0000108516,11600,
Xerox Holdings Corp,XEROX HOLDINGS CORP,XRX,0001770450,11636,
Key Energy Services Inc.,KEY ENERGY SERVICES INC,KEGX,0000318996,11644,
Xicor Inc,XICOR INC,XICO,0000319191,11646,
Yellow Corp,YELLOW CORP,YELL,0000716006,11649,
Zale Corp,ZALE CORP,ZLC,0000109156,11669,
Spectrum Brands Holdings Inc,SPECTRUM BRND HLDG INC,SPB,0000109177,11670,
TJX Companies Inc (The),TJX COS INC (THE),TJX,0000109198,11672,
Zions Bancorporation National Association,ZIONS BANCORPORATION NA,ZION,0000109380,11687,
Zygo Corp,ZYGO CORP,ZIGO,0000730716,11694,
Flux Power Holdings Inc,FLUX POWER HOLDINGS INC,FLUX,0001083743,11703,
Function(x) Inc,FUNCTION(X) INC,FNCX,0000725876,11708,
Identix Inc,IDENTIX INC,IDNX,0000735780,11720,
Oshkosh Corp,OSHKOSH CORP,OSK,0000775158,11721,
Qualys Inc,QUALYS INC,QLYS,0001107843,11745,
TransMontaigne Inc,TRANSMONTAIGNE INC,TMG.1,0000755199,11747,
Penford Corp,PENFORD CORP,PENX,0000739608,11748,
Svenska Kullagerfabriken Skf AB,SKF AB,SKFRY,0000777504,11749,
Alexander & Baldwin Inc,ALEXANDER & BALDWIN INC,ALEX,0001545654,11756,
Stifel Financial Corp.,STIFEL FINANCIAL CORP,SF,0000720672,11770,
Ovintiv Inc,OVINTIV INC,OVV,0001792580,11781,
Sears Canada Inc,SEARS CANADA INC,SRSCQ,0001550910,11787,
LCI Industries,LCI INDUSTRIES,LCII,0000763744,11796,
CAS Medical Systems Inc,CAS MEDICAL SYSTEMS INC,CASM,0000764579,11805,
Henry (Jack) & Associates Inc,HENRY (JACK) & ASSOCIATES,JKHY,0000779152,11811,
Buffets Holdings Inc,BUFFETS HOLDINGS INC,0419B,0001292731,11815,
Bear Stearns Companies Inc (The),BEAR STEARNS COMPANIES INC,BSC.1,0000777001,11818,
Gleacher & Company Inc,GLEACHER & COMPANY INC,GLCH,0000782842,11819,
Associated Banc-Corp,ASSOCIATED BANC-CORP,ASB,0000007789,11842,
NMI Holdings Inc,NMI HOLDINGS INC,NMIH,0001547903,11854,
Truist Financial Corp,TRUIST FINANCIAL CORP,TFC,0000092230,11856,
Valley National Bancorp,VALLEY NATIONAL BANCORP,VLY,0000714310,11861,
CompuCom Systems Inc,COMPUCOM SYSTEMS INC,CMPC,0000736291,11867,
Ark Restaurants Corp.,ARK RESTAURANTS CORP,ARKR,0000779544,11872,
First Midwest Bancorp Inc,FIRST MIDWEST BANCORP INC,FMBI,0000702325,11896,
DPAC Technologies Corp,DPAC TECHNOLOGIES CORP,DPAC,0000784770,11907,
Novell Inc.,NOVELL INC,NOVL,0000758004,11910,
Immucor Inc,IMMUCOR INC,BLUD1,0000736822,11914,
Natural Grocers by Vitamin Cottage Inc,NATURAL GROCERS VITAMIN CTGE,NGVC,0001547459,11922,
Anadarko Petroleum Corp,ANADARKO PETROLEUM CORP,APC,0000773910,11923,
Noble Corporation,NOBLE CORPORATION,NE,0001458891,11925,
Acura Pharmaceuticals Inc,ACURA PHARMACEUTICALS INC,ACUR,0000786947,11929,
Tuesday Morning Corp.,TUESDAY MORNING CORP,TUEM,0000878726,11944,
Good Guys Inc,GOOD GUYS INC,GGUY,0000785931,11974,
Rocky Mountain Chocolate Factory Inc,ROCKY MOUNTAIN CHOC FACT INC,RMCF,0001616262,11976,
Intelsat SA,INTELSAT SA,INTEQ,0001525773,12010,
RBB Bancorp,RBB BANCORP,RBB,0001499422,12035,
Cavalier Homes Inc,CAVALIER HOMES INC,CAV.2,0000789863,12047,
EMC Corp,EMC CORP/MA,EMC,0000790070,12053,
Bally Technologies Inc,BALLY TECHNOLOGIES INC,BYI,0000002491,12075,
Gladstone Land Corporation,GLADSTONE LAND CORP,LAND,0001495240,12081,
Duratek Inc,DURATEK INC,DRTK,0000785186,12090,
MEDTOX Scientific Inc.,MEDTOX SCIENTIFIC INC,MTOX,0000739944,12091,
Envela Corp,ENVELA CORP,ELA,0000701719,12096,
Gottschalks Inc.,GOTTSCHALKS INC,GOTTQ,0000790414,12122,
Big Lots Inc,BIG LOTS INC,BIG,0000768835,12123,
Morgan Stanley,MORGAN STANLEY,MS,0000895421,12124,
Bedford Property Investors Inc.,BEDFORD PROPERTY INVESTORS,BED,0000910079,12125,
Sun Microsystems Inc,SUN MICROSYSTEMS INC,JAVA.1,0000709519,12136,
National Retail Properties Inc,NATIONAL RETAIL PROPERTIES,NNN,0000751364,12140,
Microsoft Corp,MICROSOFT CORP,MSFT,0000789019,12141,
Oracle Corp,ORACLE CORP,ORCL,0001341439,12142,
SunGard Data Systems Inc.,SUNGARD DATA SYSTEMS INC,0139A,0000789388,12144,
Coty Inc,COTY INC,COTY,0001024305,12151,
Tech Data Corp,TECH DATA CORP,TECD,0000790703,12171,
OSI Pharmaceuticals Inc,OSI PHARMACEUTICALS INC,OSIP,0000729922,12180,
Repligen Corp,REPLIGEN CORP,RGEN,0000730272,12181,
X-Rite Inc,X-RITE INC,XRIT,0000790818,12189,
Calfrac Well Services Ltd,CALFRAC WELL SERVICES LTD,CFWFF,0001336762,12198,
DIRECTV,DIRECTV,DTV.2,0001465112,12206,
Tekelec,TEKELEC,TKLC,0000790705,12212,
Cypress Semiconductor Corp,CYPRESS SEMICONDUCTOR CORP,CY,0000791915,12215,
Linear Technology Corp,LINEAR TECHNOLOGY CORP,LLTC,0000791907,12216,
Genzyme Corp,GENZYME CORP,GENZ,0000732485,12233,
Sigma Designs Inc,SIGMA DESIGNS INC,SIGM,0000790715,12234,
Measurement Specialties Inc.,MEASUREMENT SPECIALTIES INC,MEAS,0000778734,12236,
Anchor Glass Container Corp,ANCHOR GLASS CONTAINER CORP,AGCCQ,0001052163,12246,
AMAG Pharmaceuticals Inc,AMAG PHARMACEUTICALS INC,AMAG,0000792977,12250,
XOMA Corp,XOMA CORP,XOMA,0000791908,12252,
Steel Excel Inc,STEEL EXCEL INC,SXCL,0000709804,12256,
Astec Industries Inc.,ASTEC INDUSTRIES INC,ASTE,0000792987,12262,
Werner Enterprises Inc.,WERNER ENTERPRISES INC,WERN,0000793074,12266,
Cytogen Corp,CYTOGEN CORP,CYTO.,0000725058,12274,
Rewards Networks Inc,REWARDS NETWORKS INC,DINE,0000078536,12277,
MPLX LP,MPLX LP,MPLX,0001552000,12294,
DLH Holdings Corp,DLH HOLDINGS CORP,DLHC,0000785557,12304,
JAVELIN Mortgage Investment Corp,JAVELIN MORTGAGE INVESTMENT,JMI,0001552890,12311,
Vista Gold Corp,VISTA GOLD CORP,VGZ,0000783324,12321,
Health Management Associates Inc.,HEALTH MANAGEMENT ASSOC,HMA.,0000792985,12338,
Metro-Goldwyn-Mayer Inc.,METRO GOLDWYN MAYER INC,MGM.2,0001026816,12352,
Research Frontiers Inc,RESEARCH FRONTIERS INC,REFR,0000793524,12377,
American Woodmark Corp,AMERICAN WOODMARK CORP,AMWD,0000794619,12379,
Avant Immunotherapeutics Inc-Old,AVANT IMMUNOTHERAPEUTICS-OLD,AVAN.1,,12381,
Norsk Hydro ASA,NORSK HYDRO ASA,NHYDY,0000900268,12383,
Shell Plc,SHELL PLC,SHEL,0001306965,12384,
Harley-Davidson Inc.,HARLEY-DAVIDSON INC,HOG,0000793952,12389,
Candela Corp,CANDELA CORP,CLZR,0000793279,12390,
SkyWest Inc,SKYWEST INC,SKYW,0000793733,12392,
Toll Brothers Inc.,TOLL BROTHERS INC,TOL,0000794170,12395,
Fred's Inc,FREDS INC,FREDQ,0000724571,12403,
U.S. Global Investors Inc,U S GLOBAL INVESTORS INC,GROW,0000754811,12407,
Engility Holdings Inc,ENGILITY HOLDINGS INC,EGL,0001544229,12413,
Kaspien Holdings Inc,KASPIEN HOLDINGS INC,KSPN,0000795212,12421,
Portland General Electric Co,PORTLAND GENERAL ELECTRIC CO,POR,0000784977,12428,
Hi-Crush Inc,HI-CRUSH INC,HCRSQ,0001549848,12432,
Meridian Bioscience Inc,MERIDIAN BIOSCIENCE INC,VIVO,0000794172,12433,
Metal Management Inc,METAL MANAGEMENT INC,MM.1,0000795665,12434,
Gartner Inc,GARTNER INC,IT,0000749251,12441,
PDG Environmental Inc,PDG ENVIRONMENTAL INC,PDGE,0000771485,12444,
Watts Water Technologies Inc,WATTS WATER TECHNOLOGIES INC,WTS,0000795403,12445,
Pro Dex Inc,PRO-DEX INC/CO,PDEX,0000788920,12458,
World Fuel Services Corp,WORLD FUEL SERVICES CORP,INT,0000789460,12471,
Journal Communications Inc.,JOURNAL COMMUNICATIONS INC,JRN,0001232241,12478,
Clearfield Inc,CLEARFIELD INC,CLFD,0000796505,12482,
Altice usa inc,ALTICE USA INC,ATUS,0001702780,12485,
Adobe Inc,ADOBE INC,ADBE,0000796343,12540,
St. Joe Co (The),ST JOE CO,JOE,0000745308,12544,
Harte Hanks Inc.,HARTE HANKS INC,HHS,0000045919,12545,
Eye Care Centers of America,EYE CARE CENTERS OF AMERICA,0067A,0000759896,12551,
Pure Multi-Family REIT LP,PURE MULTI-FAMILY REIT LP,PMULF,,12556,
Fuel Systems Solutions Inc,FUEL SYSTEMS SOLUTIONS INC,FSYS,0001340786,12559,
Bio Reference Laboratories Inc,BIO REFERENCE LABS,BRLI.1,0000792641,12576,
Magnetek Inc.,MAGNETEK INC,MAG.3,0000751085,12581,
Ascential Software Corp,ASCENTIAL SOFTWARE CORP,ASCL,0000799089,12587,
Encompass Health Corp,ENCOMPASS HEALTH CORP,EHC,0000785161,12589,
Lakeland Industries Inc,LAKELAND INDUSTRIES INC,LAKE,0000798081,12597,
CNO Financial Group Inc,CNO FINANCIAL GROUP INC,CNO,0001224608,12603,
M/I Homes Inc,M/I HOMES INC,MHO,0000799292,12615,
Fiserv Inc.,FISERV INC,FISV,0000798354,12635,
SED International Holdings Inc,SED INTERNATIONAL HLDGS INC,SEDN,0000800286,12658,
Carmike Cinemas Inc,CARMIKE CINEMAS INC,CKEC,0000799088,12669,
Barclays PLC,BARCLAYS PLC,BCS,0000312069,12673,
California Micro Devices Corp,CALIFORNIA MICRO DEVICES CP,CAMD,0000800460,12677,
Silicon Graphics Inc.,SILICON GRAPHICS INC,SGICQ,0000802301,12679,
Hemacare Corp,HEMACARE CORP,HEMA,0000801748,12684,
KB Home,KB HOME,KBH,0000795266,12689,
Theragenics Corp,THERAGENICS CORP,TGX,0000795551,12691,
Geokinetics Inc,GEOKINETICS INC,GEOKQ,0000314606,12708,
Abeona Therapeutics Inc,ABEONA THERAPEUTICS INC,ABEO,0000318306,12713,
Computer Network Technology Corp,COMPUTER NETWORK TECH CORP,CMNT.,0000701319,12718,
Apyx Medical Corp,APYX MEDICAL CORP,APYX,0000719135,12719,
Unum Group,UNUM GROUP,UNM,0000005513,12726,
Lyris Inc,LYRIS INC,LYRI,0001166220,12734,
Coca-Cola Europacific Partners PLC,COCA-COLA EUROPACIFIC PARTNE,CCEP,0001650107,12756,
W World Corp,W WORLD CORP,WWHC,0000713275,12757,
SunOpta Inc,SUNOPTA INC,STKL,0000351834,12761,
DVI Inc.,DVI INC,DVIXQ,0000801550,12775,
Capital Gold Corp,CAPITAL GOLD CORP,CGC.4,0000726845,12782,
Pilgrim's Pride Corp,PILGRIM'S PRIDE CORP,PPC,0000802481,12785,
Harman International Industries Inc.,HARMAN INTERNATIONAL INDS,HAR,0000800459,12788,
LoJack Corp,LOJACK CORP,LOJN,0000355777,12789,
CoreLogic Inc,CORELOGIC INC,CLGX,0000036047,12796,
Gigamon Inc,GIGAMON INC,GIMO,0001484504,12803,
Versar Inc.,VERSAR INC,VSRI,0000803647,12804,
Rentrak Corp,RENTRAK CORP,RENT.1,0000800458,12815,
IsoRay Inc,ISORAY INC,ISR,0000728387,12818,
NGAS Resources Inc,NGAS RESOURCES INC,NGAS,0000746834,12821,
J & J Snack Foods Corp,J & J SNACK FOODS CORP,JJSF,0000785956,12825,
Hanson PLC,HANSON PLC,HAN,0001265725,12826,
Pulitzer Inc,PULITZER INC,PTZ,0001068848,12827,
Nutrition 21 Inc,NUTRITION 21 INC,NXXIQ,0000744962,12828,
Delek Logistics Partners LP,DELEK LOGISTICS PARTNERS LP,DKL,0001552797,12833,
Heartland Express Inc,HEARTLAND EXPRESS INC,HTLD,0000799233,12840,
Cerner Corp,CERNER CORP,CERN,0000804753,12850,
Nobel Learning Communities Inc,NOBEL LEARNING CMNTYS INC,NLCI,0000721237,12855,
Quiksilver Inc.,QUIKSILVER INC,ZQKSQ,0000805305,12868,
icad Inc,ICAD INC,ICAD,0000749660,12874,
Twenty-First Century Fox Inc,TWENTY-FIRST CENTURY FOX INC,TFCFA,0001308161,12886,
Sunoco LP,SUNOCO LP,SUN,0001552275,12892,
Axiall Corp,AXIALL CORP,AXLL,0000805264,12895,
Markel Corp,MARKEL CORP,MKL,0001096343,12909,
OraSure Technologies Inc,ORASURE TECHNOLOGIES INC,OSUR,0001116463,12915,
FRP Holdings Inc,FRP HOLDINGS INC,FRPH,0000844059,12926,
RegeneRx Biopharmaceuticals Inc,REGENERX BIOPHARMACEUTICALS,RGRX,0000707511,12942,
Plexus Corp,PLEXUS CORP,PLXS,0000785786,12945,
Airgas Inc.,AIRGAS INC,ARG,0000804212,12950,
Cadiz Inc,CADIZ INC,CDZI,0000727273,12964,
Ingles Markets Inc,INGLES MARKETS INC  -CL A,IMKTA,0000050493,12972,
Kraft Foods Group Inc,KRAFT FOODS GROUP INC,KRFT,0001545158,12978,
Xpresspa Group Inc,XPRESSPA GROUP INC,XSPA,0001410428,12987,
Baldwin Technology Co Inc,BALDWIN TECHNOLOGY CO  -CL A,BLD.2,0000805792,12992,
Gas Natural Inc,GAS NATURAL INC,EGAS,0000043350,12994,
Joy Global Inc,JOY GLOBAL INC,JOY,0000801898,13003,
Network Equipment Technologies Inc.,NETWORK EQUIPMENT TECH INC,NWK,0000752431,13011,
Synovis Life Technologies Inc,SYNOVIS LIFE TECH INC,SYNO,0000780127,13013,
Advo Inc.,ADVO INC,AD,0000801622,13025,
Gundle/SLT Environmental Inc.,GUNDLE/SLT ENVIRONMENTAL INC,0097A,0000805023,13027,
Synovus Financial Corp.,SYNOVUS FINANCIAL CORP,SNV,0000018349,13041,
National Commerce Financial Corp,NATIONAL COMMERCE FINANCIAL,NCF,0000101844,13054,
Environmental Power Corp,ENVIRONMENTAL POWER CORP,EPGRQ,0000805012,13062,
RadNet Inc,RADNET INC,RDNT,0000790526,13071,
Jack in the Box Inc.,JACK IN THE BOX INC,JACK,0000807882,13092,
Fidelity National Financial Inc.,FIDELITY NATIONAL FINL INC,FNF.1,0000809398,13114,
Nationwide Health Properties Inc.,NATIONWIDE HEALTH PPTYS INC,NHP,0000780053,13124,
Healthpeak Properties Inc,HEALTHPEAK PROPERTIES INC,PEAK,0000765880,13125,
Ecology and Environment Inc.,ECOLOGY AND ENVIRONMENT INC,EEI,0000809933,13128,
York International Corp,YORK INTERNATIONAL CORP,YRK,0000842662,13135,
Capstead Mortgage Corp,CAPSTEAD MORTGAGE CORP,CMO,0000766701,13142,
Parlux Fragrances Inc,PARLUX FRAGRANCES INC,PARL,0000802356,13163,
IndyMac Bancorp Inc.,INDYMAC BANCORP INC,IDMCQ,0000773468,13166,
TGC Industries Inc,TGC INDUSTRIES INC,TGE.3,,13174,
Sono-Tek Corp,SONO-TEK CORP,SOTK,0000806172,13176,
CytRx Corp,CYTRX CORP,CYTR,0000799698,13184,
Cedar Realty Trust Inc,CEDAR REALTY TRUST INC,CDR,0000761648,13189,
Photronics Inc,PHOTRONICS INC,PLAB,0000810136,13200,
Fisher Scientific International Inc.,FISHER SCIENTIFIC INTL INC,FSH.2,0000880430,13204,
Laureate Education Inc.,LAUREATE EDUCATION INC  -OLD,LAUR.2,,13227,
ImmuCell Corp,IMMUCELL CORP,ICCC,0000811641,13235,
Repro MedSystems Inc,REPRO MEDSYSTEMS INC,KRMD,0000704440,13239,
Mesa Air Group Inc,MESA AIR GROUP INC,MESAQ,,13241,
California First Leasing Corp,CALIFORNIA FIRST LEASNG CORP,CFNB,0000803016,13289,
Devcon International Corp.,DEVCON INTERNATIONAL CORP,DEVC,0000028452,13311,
BHP Group Ltd,BHP GROUP LTD,BHP,0000811809,13312,
Sanderson Farms Inc,SANDERSON FARMS INC,SAFM,0000812128,13323,
Topps Company Inc (The),TOPPS CO INC,TOPP.1,0000812076,13326,
C&D Technologies Inc,C&D TECHNOLOGIES INC,CHHP.1,0000808064,13328,
Stratex Networks Inc,STRATEX NETWORKS INC,STXN,0000812703,13329,
Progressive Corp (The),PROGRESSIVE CORP-OHIO,PGR,0000080661,13341,
RLI Corp,RLI CORP,RLI,0000084246,13342,
VOXX International Corp,VOXX INTERNATIONAL CORP,VOXX,0000807707,13354,
Komag Inc,KOMAG INC,KOMG,0001689437,13369,
GCI Liberty Inc -Old,GCI LIBERTY INC -OLD,GNCMA,,13375,
Sorrento Networks Corp,SORRENTO NETWORKS CORP,FIBR.1,0000812491,13378,
Saks Inc,SAKS INC,SKS,0000812900,13380,
Destination XL Group Inc,DESTINATION XL GROUP INC,DXLG,0000813298,13381,
First Health Group Corp,FIRST HEALTH GROUP CORP,FHCC,0000812910,13397,
Avino Silver & Gold Mines Ltd,AVINO SILVER & GOLD MINS LTD,ASM,0000316888,13400,
Calgon Carbon Corp,CALGON CARBON CORP,CCC.1,0000812701,13406,
Southwall Technologies Inc,SOUTHWALL TECHNOLOGIES,SWTX.1,0000813619,13409,
Cadence Design Systems Inc,CADENCE DESIGN SYSTEMS INC,CDNS,0000813672,13421,
Berry Corp,BERRY CORP,BRY,0001705873,13431,
XETA Technologies Inc,XETA TECHNOLOGIES INC,XETA,0000742550,13443,
Aventis,AVENTIS SA,AVE.2,0000807198,13467,
CNS Inc,CNS INC,CNXS.1,0000814258,13474,
Sharper Image Corp,SHARPER IMAGE CORP,SHRPQ,0000811696,13479,
Ebix Inc,EBIX INC,EBIX,0000814549,13480,
Carnival Corporation & Plc,CARNIVAL CORPORATION & PLC,CCL,0000815097,13498,
Advanced Marketing Services Inc.,ADVANCED MARKETING SERVICES,MKTSQ.,0000814580,13503,
Dreams Inc,DREAMS INC,DRJ,0000810829,13505,
Duke Realty Corp,DUKE REALTY CORP,DRE,0000783280,13510,
Breakwater Resources Ltd,BREAKWATER RESOURCES LTD,BWLR,0000782875,13516,
FileNet Corp,FILENET CORP,FILE,0000706015,13525,
Buckeye Partners LP,BUCKEYE PARTNERS LP,BPL,0000805022,13526,
Hancock Fabrics Inc.,HANCOCK FABRICS INC,HKFIQ,0000812906,13531,
WhiteWave Foods Co (The),WHITEWAVE FOODS CO,WWAV,0001555365,13540,
Great American Financial Resources Inc.,GREAT AMERN FINL RESOURCES,GFR,0000894651,13557,
MBIA Inc.,MBIA INC,MBI,0000814585,13561,
Brandywine Realty Trust,BRANDYWINE REALTY TRUST,BDN,0000790816,13562,
Middleby Corp (The),MIDDLEBY CORP,MIDD,0000769520,13570,
Maritrans Inc.,MARITRANS INC,TUG,0000810113,13572,
Equity Commonwealth,EQUITY COMMONWEALTH,EQC,0000803649,13579,
Universal Health Realty Income Trust,UNIVERSAL HEALTH RLTY INCOME,UHT,0000798783,13580,
CPS Technologies Corp,CPS TECHNOLOGIES CORP,CPSH,0000814676,13582,
Celgene Corp,CELGENE CORP,CELG,0000816284,13599,
